C_Depto,Descripción,C_Municipio,Descripción,C_Aldea,Aldea,C_Cas,Caserío,C_Bar,Barrio,T_Viviendas,T_Viv_Part,Viv_Part_Ocupadas,Viv_Part_Desocupadas,Viv_Colectivas,Hogares,Poblacion
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,539,BO.JARDINES DE CASAMATA,55,55,55,0,0,55,259
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,57,BO.LA PEDRERA NO.2,11,11,11,0,0,11,23
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,31,BOL. EL ZANCUDO,403,403,389,14,0,392,1770
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,560,BRISAS DE ORIENTE,287,287,240,47,0,240,1184
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,9,CASAMATA,245,245,221,24,0,224,906
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,586,CASERIO EL MOGOTE,55,55,55,0,0,57,263
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,954,CASERIO EL PORTILLO,17,17,14,3,0,14,60
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,953,CASERIO LA CAÑADA,258,258,207,51,0,217,987
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,375,CERRO JUAN A. LAINES,135,135,127,8,0,130,517
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,142,COL . EL HATO O SAN IGNACIO,313,313,253,60,0,256,1075
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,855,COL BERNARDO DAZZI   I  Y  II ETAPA,78,78,78,0,0,83,317
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,239,COL LOS ANGELES,192,192,179,13,0,179,740
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,572,COL NUEVA CAPITAL,3059,3035,2539,496,24,2612,11493
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,268,"COL NUEVA ERA ( ETAPA I, II, III )",319,319,289,30,0,289,1233
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,241,"COL RES. LOS GIRASOLES ( I, II, III",414,414,376,38,0,379,1549
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,844,COL.  HAMBURGO,12,12,12,0,0,12,53
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,278,COL. 11 DE JUNIO O SUAZO CORDOVA,429,427,403,24,2,419,1951
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,346,COL. 13 DE JULIO,236,236,212,24,0,219,999
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,388,COL. 14 DE ENERO,188,188,175,13,0,185,817
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,126,COL. 14 DE FEBRERO,134,134,119,15,0,124,677
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,127,COL. 14 DE MARZO,1499,1493,1197,296,6,1227,5535
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,290,COL. 15 DE SEPTIEMBRE,407,403,382,21,4,385,1538
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,389,COL. 17 DE SEPTIEMBRE,209,209,202,7,0,203,780
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,626,COL. 17 DE SEPTIEMBRE SECTOR NO.1,234,234,225,9,0,228,959
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,390,COL. 19 DE SEPTIEMBRE,452,452,429,23,0,437,2099
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,353,COL. 21 DE FEBRERO,1664,1662,1506,156,2,1549,6420
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,354,COL. 21 DE OCTUBRE,827,823,768,55,4,794,3415
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,391,COL. 23 DE JUNIO,425,424,394,30,1,406,1890
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,352,COL. 28 DE MARZO,936,936,888,48,0,935,4227
8,FRANCISCO MORAZÁN,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,1,DISTRITO CENTRAL,347,COL. 30 DE NOVIEMBRE,530,529,502,27,1,520,2240
